Andhra Pradesh,published,Karnataka,Kerala,Tamil Nadu,Telangana,Bengaluru,Chennai,Coimbatore,Delhi,Hyderabad,Kochi,Kolkata,Mumbai,Kozhikode,Madurai,Mangaluru,Puducherry,Thiruvananthapuram,Tiruchirapalli,Vijayawada,Visakhapatnam,Lucknow,Pune,Chandigarh,Ludhiana,Gujarat,Dehradun,Indore,Jaipur,Noida,Patna,Ranchi,National,Bangalore,Ahemdabad,Allahabad,Bhubaneswar,Gurgaon,Guwahati,Hubli,Kanpur,Mangalore,Mysore,Goa,Nagpur,Rajkot,Surat,Vadodara,Varanasi,Thane,Maharashtra,Jammu and Kashmir
,"Wed, 29 Dec 2021 19:50:27 +0530",https://www.thehindu.com/news/national/karnataka/23-estate-workers-test-positive/article38064917.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 20:01:06 +0530",https://www.thehindu.com/news/national/karnataka/mp-inspects-stpis-incubation-centre-work-at-hebbal/article38064257.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 18:22:30 +0530",https://www.thehindu.com/news/national/karnataka/icu-ambulance-service-to-be-offered-by-mims-in-mandya/article38064194.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 18:16:05 +0530",https://www.thehindu.com/news/national/karnataka/drinking-water-supply-timing-to-fluctuate-in-parts-of-mysuru/article38064158.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 18:10:36 +0530",https://www.thehindu.com/news/national/karnataka/bommai-to-remain-cm-till-2023-pratap-simha/article38064050.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 18:07:11 +0530",https://www.thehindu.com/news/national/karnataka/police-intervene-as-groups-stage-protest-at-rangayana/article38064027.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 14:02:28 +0530",https://www.thehindu.com/news/national/karnataka/bjp-to-take-misrule-of-congress-before-people-arun-singh/article38061444.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 13:37:32 +0530",https://www.thehindu.com/news/national/karnataka/basava-dharma-peetha-to-discontinue-the-use-of-linga-deva-in-its-publications/article38061371.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:48:05 +0530",,https://www.thehindu.com/news/national/kerala/mahatma-gandhi-university-placed-3rd-in-atal-ranking-on-innovation/article38071893.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:44:05 +0530",,https://www.thehindu.com/news/national/kerala/kerala-fifth-in-ggi-ranking-cm/article38071832.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:39:49 +0530",,https://www.thehindu.com/news/national/kerala/after-prosecutor-quits-court-adjourns-trial-actor-assault-case/article38071814.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:37:50 +0530",,https://www.thehindu.com/news/national/kerala/sabarimala-ayyappa-temple-opened-for-makaravilakku/article38071802.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:31:54 +0530",,https://www.thehindu.com/news/national/kerala/raw-coconut-procurement-from-jan-5/article38071756.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:24:12 +0530",,https://www.thehindu.com/news/national/kerala/kpcc-president-k-sudhakaran-slams-kerala-government-for-impeding-new-year-eve-midnight-mass-with-ban-on-gatherings-due-to-omicron-threat/article38071682.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 17:16:03 +0530",,https://www.thehindu.com/news/national/kerala/kseb-given-more-time-to-file-tariff-proposals/article38071139.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 14:53:36 +0530",,https://www.thehindu.com/news/national/kerala/first-water-metro-ferry-to-be-handed-over-to-kmrl-on-friday/article38070178.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 12:07:01 +0530",,https://www.thehindu.com/news/national/kerala/special-public-prosecutor-in-the-actor-sexual-assault-case-resigns/article38069446.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:09:11 +0530",,https://www.thehindu.com/news/national/kerala/state-level-launch-of-life-mission-third-phase-today/article38067321.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 01:05:37 +0530",,https://www.thehindu.com/news/cities/Kochi/its-stocktaking-time-for-kochi-corpn/article38067176.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 23:28:46 +0530",,https://www.thehindu.com/news/cities/kozhikode/10000-km-in-20-days-on-contessa-a-point-well-proven/article38066865.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, 30 Dec 2021 18:30:22 +0530",,https://www.thehindu.com/news/national/kerala/nit-c-ranked-first-among-centrally-funded-institutions-in-ariia/article38066820.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:52:21 +0530",,https://www.thehindu.com/news/national/kerala/legislate-against-hate-campaigns-kanthapuram/article38066597.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:51:49 +0530",,https://www.thehindu.com/news/national/kerala/league-vying-with-sdpi-for-communal-space-pinarayi/article38066592.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:50:59 +0530",,https://www.thehindu.com/news/national/kerala/more-trains-on-mangaluru-kozhikode-section-from-jan-3/article38066579.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:50:08 +0530",,https://www.thehindu.com/news/national/kerala/local-bodies-asked-to-check-dog-menace/article38066567.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:49:08 +0530",,https://www.thehindu.com/news/national/kerala/hike-compensation-for-wildlife-attacks-satheesan/article38066560.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:48:25 +0530",,https://www.thehindu.com/news/national/kerala/cms-attacks-on-league-futile-salam/article38066553.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:47:17 +0530",,https://www.thehindu.com/news/national/kerala/tender-areca-nut-prices-touch-all-time-high/article38066536.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:44:54 +0530",,https://www.thehindu.com/news/cities/Kochi/farmers-hopes-dashed-as-price-of-rubber-crashes/article38066511.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:26:49 +0530",,https://www.thehindu.com/news/national/kerala/hope-fest-gets-off-to-a-colourful-start/article38066447.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 21:15:46 +0530",,https://www.thehindu.com/news/national/kerala/hc-notice-on-vc-forwarded-to-govt-says-governor/article38065671.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 21:13:25 +0530",,https://www.thehindu.com/news/national/kerala/an-art-form-swings-across-the-gender-barrier/article38065655.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
